language	genus
AVAANT	Avar-Andic-Tsezic
EUSNLT	Basque
KHGNTV	Bodic
GRTBBS	Brahmaputran
HAKTHV	Chinese
KFBNTA	Dravidian
ESSWYI	Eskimo
KRLNEW	Finnic
NLDHSV	Germanic
ELLELL	Greek
MWWHDV	Hmongic
CTGBSB	Indic
THATSV	Kam-Tai
BRUNXB	Katuic
KORSYS	Korean
TABIBT	Lezgic
INDASV	Malayo-Sumbawan
MHRIBT	Mari
XALIBT	Mongolic
CHEIBT	Nakh
RAWBIB	Nungish
PRKBSM	Palaungic
KPVIBT	Permic
ITAR27	Romance
SGWBSE	Semitic
CRHIBT	Turkic
HUNK90	Ugric
VIELHG	Vietic
TLJWBT	Bantu
KABCEB	Berber
MIFWBT	Biu-Mandara
BDHWBT	Bongo-Bagirmi
DUDWYI	Central Kainji
TPIPNG	Creoles and Pidgins
DTSABM	Dogon
KERABT	East Chadic
BIBWBT	Eastern Mande
TEOBSU	Eastern Nilotic
GUKBSE	Gumuz
MORBSS	Heiban
IZZTBL	Igboid
CSKATB	Jola
JBUIBS	Jukunoid
KIAWBT	Kim
CMEWBT	Kirma-Tyurama
KRSWYI	Kresh
RELBTL	Lowland East Cushitic
LMEABT	Masa
MHIBSU	Moru-Ma'di
MZMWBT	Mumuye-Yandang
LEFTBL	Na-Togo
FUVLTBL	Peul-Serer
ACMAS3	Semitic
SPPTBL	Senufo
KHQBIV	Songhay
AMFSIM	South Omotic
DIDWBT	South Surmic
IRKBST	Southern Cushitic
TCCBST	Southern Nilotic
MDYBSE	Ta-Ne-Omotic
BSCWBT	Tenda
TIKWYI	Tikar
ZNEZNE	Ubangi
SURIBS	West Chadic
BBOBSM	Western Mande
SHKBSS	Western Nilotic
BFDWBT	Wide Grassfields
PADWBT	Arauan
CBITBL	Barbacoan
BOATBL	Boran
BORWYI	Bororoan
CBTTBL	Cahuapanan
KBHWBT	Camsá
MBCWBT	Cariban
CAXSBB	Chiquitano
NOAWBT	Choco
CONWBT	Cofán
DJKWBT	Creoles and Pidgins
GUHWBT	Guahiban
GUCTBL	Guajiro-Paraujano
AMRTBL	Harakmbet
XAVTBL	Je Central
ACUTBL	Jivaroan
MCAWBT	Matacoan
URBWBT	Maweti-Guarani
CASNTM	Mosetenan
NABWBT	Nambikuaran
YADTBL	Peba-Yaguan
PUIABC	Puinave
PBBDYU	Páezan
QUBPBS	Quechuan
ESEE06	Tacanan
TCATBL	Ticuna
DESWBT	Tucanoan
TUFWYI	Tunebo
URATBL	Urarina
CAPSBB	Uru-Chipaya
WBABIV	Warao
HTOWBT	Witoto
XSUMEV	Yanomam
YUZNTM	Yuracare
ARLTBL	Zaparoan
CRKWCV	Algonquian
AMUMVR	Amuzgoan
CABNVS	Antillean Arawakan
CRXWYI	Athapaskan
NHXNFB	Aztecan
AZZTBL	Aztecan
MFYWBT	Cahita
CCOTBL	Chinantecan
CRNWBT	Corachol
HWCWYI	Creoles and Pidgins
SABWBT	Guaymiic
HUVTBL	Huavean
MOPWBT	Mayan
KNJSBI	Mayan
MIQSBN	Misumalpan
POIWBT	Mixe-Zoque
MTOTBL	Mixe-Zoque
MILTBL	Mixtec
MPMTBL	Mixtec
PAONAB	Northern Uto-Aztecan
OTQTBL	Otomian
POEWBT	Popolocan
CHRPDV	Southern Iroquoian
TACPBC	Tarahumaran
NTPTBL	Tepiman
JICWBT	Tol
TOPTBL	Totonacan
TPTTBL	Totonacan
TEETBL	Totonacan
TRCWBT	Trique
CJPTJV	Western Isthmic Chibchan
TFRWBT	Western Isthmic Chibchan
ZPMTBL	Zapotecan
BVRXXX	Burarran
DIFXXX	Central Pama-Nyungan
ALYXXX	Central Pama-Nyungan
TCSWYI	Creoles and Pidgins
MFEBSM	Creoles and Pidgins
JAMBSW	Creoles and Pidgins
GUPXXX	Marne
WIMWYI	Northern Pama-Nyungan
NUYXXX	Nunggubuyu
NTJXXX	Western Pama-Nyungan
PJTXXX	Western Pama-Nyungan
AAUWBT	Abau
KGRLAI	Abun
AGMWBT	Angaataha
BYXWBT	Baining
MLPTBL	Bargam
NIJLAI	Barito
AMNPNG	Border
PAMPBS	Central Luzon
FRDWBT	Central Malayo-Polynesian
AVTWBT	Central Wapei
SRNBSS	Creoles and Pidgins
MEJTBL	East Bird's Head
YUJWBT	Eastern Pauwasi
TQOTQO	Eleman
KYCPNG	Enga_Kewa-Huli
GAHPNG	Gahuku
BVZYSS	Geelvink Bay
GHSPNG	Guhu-Samane
HADLAI	Hatim-Mansim
NAFWBT	Huon
JAVNRF	Javanese
KPWPNG	Kalam-Kobon
AOJFIL	Kombio-Arapesh
KTOWBT	Kuot
AMMWBT	Left May
IBATIV	Malayo-Sumbawan
KMSPNG	Marienberg
IANPNG	Ndu
TIHBSM	North Borneo
ROOWBT	North Bougainville
GBILAI	North Halmaheran
IFBTBL	Northern Luzon
NIAIBS	Northwest Sumatra-Barrier Islands
BYRWBT	Nuclear Angan
KMOWBT	Nukuma
MPTWBT	Ok
OPMTBL	Oksapmin
PAUPAL	Palauan
SSDWBT	Rai Coast
MSYPNG	Ruboni
SXNLAI	Sangiric
AGGPNG	Senagi
AMPWBT	Sepik Hill
NASPNG	South Bougainville
AMKWBT	South Halmahera - West New Guinea
MAKLAI	South Sulawesi
TBGWBT	Tairora
YSSYYV	Tama Sepik
PPOWBT	Teberan
BKLLAI	Tor-Orya
YVATBL	Yawa
YLEWBT	Yele
